"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"Total_CE","Total Esterified Cholesterol","BC","0.951(95% CI:0.825-1.095; P=0.4820872238)","0.999(95% CI:0.976-1.022; P=0.9041109641)","0.991(95% CI:0.851-1.153; P=0.9023906144)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_FA","Total Fatty Acids","BC","1.032(95% CI:0.89-1.196; P=0.6811170433)","1.017(95% CI:0.993-1.041; P=0.1721637405)","1.067(95% CI:0.912-1.248; P=0.4185001337)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_FC","Total Free Cholesterol","BC","0.964(95% CI:0.836-1.111; P=0.6119983156)","1.003(95% CI:0.98-1.026; P=0.7905648063)","1.003(95% CI:0.861-1.168; P=0.9742007479)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_L","Total Lipids in Lipoprotein Particles","BC","0.99(95% CI:0.856-1.146; P=0.8969731109)","1.009(95% CI:0.986-1.032; P=0.4668300985)","1.035(95% CI:0.887-1.209; P=0.6616465096)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_PL","Total Phospholipids in Lipoprotein Particles","BC","0.993(95% CI:0.858-1.148; P=0.9213283088)","1.004(95% CI:0.98-1.027; P=0.7625425725)","1.029(95% CI:0.882-1.201; P=0.7146143762)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_TG","Total Triglycerides","BC","1.072(95% CI:0.933-1.232; P=0.327610816)","1.026(95% CI:1.002-1.051; P=0.0320217896)","1.106(95% CI:0.947-1.29; P=0.2034073739)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Tyr","Tyrosine","BC","1.036(95% CI:0.909-1.18; P=0.5959516624)","0.991(95% CI:0.969-1.014; P=0.4600079701)","1.111(95% CI:0.962-1.284; P=0.1524578599)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Unsaturation","Degree of Unsaturation","BC","0.888(95% CI:0.778-1.015; P=0.081310181)","0.968(95% CI:0.945-0.991; P=0.0064261871)","0.884(95% CI:0.758-1.03; P=0.1142957892)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Val","Valine","BC","1.051(95% CI:0.922-1.198; P=0.4536559055)","1.025(95% CI:1.001-1.048; P=0.0376617951)","1.152(95% CI:0.997-1.332; P=0.0554610151)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_C","VLDL Cholesterol","BC","0.995(95% CI:0.863-1.148; P=0.9486648683)","1.015(95% CI:0.992-1.039; P=0.2120813991)","1.032(95% CI:0.884-1.206; P=0.6882503713)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_CE","Cholesteryl Esters in VLDL","BC","0.986(95% CI:0.856-1.135; P=0.8416774241)","1.013(95% CI:0.99-1.036; P=0.2872462765)","1.02(95% CI:0.874-1.189; P=0.8035136063)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_FC","Free Cholesterol in VLDL","BC","1.017(95% CI:0.883-1.171; P=0.8174409206)","1.018(95% CI:0.995-1.043; P=0.1244089867)","1.054(95% CI:0.903-1.231; P=0.5013585629)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_L","Total Lipids in VLDL","BC","1.036(95% CI:0.897-1.196; P=0.6303300845)","1.022(95% CI:0.998-1.047; P=0.069802859)","1.075(95% CI:0.918-1.26; P=0.3669259739)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_PL","Phospholipids in VLDL","BC","1.031(95% CI:0.895-1.187; P=0.6733042248)","1.02(95% CI:0.996-1.044; P=0.0959539552)","1.066(95% CI:0.912-1.245; P=0.4214548025)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_TG","Triglycerides in VLDL","BC","1.076(95% CI:0.938-1.233; P=0.2973370847)","1.025(95% CI:1.001-1.05; P=0.0393471344)","1.115(95% CI:0.956-1.3; P=0.1658610351)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_C","Cholesterol in Very Large HDL","BC","1.017(95% CI:0.886-1.167; P=0.8107414706)","0.986(95% CI:0.962-1.011; P=0.2737253988)","0.977(95% CI:0.832-1.146; P=0.7704682259)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_CE","Cholesteryl Esters in Very Large HDL","BC","1.013(95% CI:0.883-1.163; P=0.8515461415)","0.985(95% CI:0.961-1.009; P=0.2239266645)","0.972(95% CI:0.828-1.141; P=0.7302749716)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_FC","Free Cholesterol in Very Large HDL","BC","1.029(95% CI:0.898-1.179; P=0.6800077594)","0.992(95% CI:0.968-1.016; P=0.5164385783)","0.99(95% CI:0.847-1.157; P=0.8993677453)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_PL","Phospholipids in Very Large HDL","BC","1.038(95% CI:0.906-1.189; P=0.5897258151)","0.988(95% CI:0.964-1.012; P=0.331360327)","0.991(95% CI:0.846-1.161; P=0.9117914414)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_TG","Triglycerides in Very Large HDL","BC","1.088(95% CI:0.954-1.241; P=0.2094023287)","1.017(95% CI:0.995-1.04; P=0.1313523111)","1.068(95% CI:0.926-1.232; P=0.3656654462)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_C","Cholesterol in Very Large VLDL","BC","1.058(95% CI:0.924-1.212; P=0.4162319645)","1.02(95% CI:0.996-1.044; P=0.1014808542)","1.096(95% CI:0.942-1.276; P=0.2353851055)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_CE","Cholesteryl Esters in Very Large VLDL","BC","1.041(95% CI:0.908-1.194; P=0.5614658785)","1.017(95% CI:0.994-1.042; P=0.1494584533)","1.082(95% CI:0.928-1.26; P=0.3146360407)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_FC","Free Cholesterol in Very Large VLDL","BC","1.075(95% CI:0.942-1.226; P=0.2854796895)","1.022(95% CI:0.998-1.046; P=0.0709550866)","1.108(95% CI:0.956-1.285; P=0.1732030615)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_PL","Phospholipids in Very Large VLDL","BC","1.081(95% CI:0.948-1.232; P=0.2429440464)","1.022(95% CI:0.998-1.046; P=0.0681960455)","1.114(95% CI:0.962-1.291; P=0.1502663125)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_TG","Triglycerides in Very Large VLDL","BC","1.091(95% CI:0.958-1.241; P=0.1879158521)","1.024(95% CI:1-1.048; P=0.0496185466)","1.126(95% CI:0.973-1.302; P=0.1109659892)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_C","Cholesterol in Very Small VLDL","BC","0.969(95% CI:0.841-1.117; P=0.6628550511)","1.01(95% CI:0.987-1.033; P=0.3937105368)","0.989(95% CI:0.85-1.151; P=0.884587377)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_CE","Cholesteryl Esters in Very Small VLDL","BC","0.96(95% CI:0.834-1.105; P=0.5693767374)","1.007(95% CI:0.985-1.03; P=0.5409295824)","0.98(95% CI:0.842-1.14; P=0.7943128822)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_FC","Free Cholesterol in Very Small VLDL","BC","0.991(95% CI:0.859-1.144; P=0.9043440408)","1.017(95% CI:0.994-1.04; P=0.1579650451)","1.006(95% CI:0.864-1.172; P=0.9381966902)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_PL","Phospholipids in Very Small VLDL","BC","1.018(95% CI:0.882-1.174; P=0.8118447358)","1.019(95% CI:0.996-1.043; P=0.0981496944)","1.028(95% CI:0.883-1.197; P=0.7240096789)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_TG","Triglycerides in Very Small VLDL","BC","1.072(95% CI:0.935-1.23; P=0.3171370758)","1.027(95% CI:1.004-1.051; P=0.0225236466)","1.07(95% CI:0.922-1.241; P=0.3744961445)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_C","Cholesterol in Chylomicrons and Extremely Large VLDL","BC","1.102(95% CI:0.971-1.25; P=0.1320520889)","1.022(95% CI:0.999-1.046; P=0.0623666659)","1.121(95% CI:0.971-1.294; P=0.119349138)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_CE","Cholesteryl Esters in Chylomicrons and Extremely Large VLDL","BC","1.106(95% CI:0.974-1.256; P=0.1193623181)","1.022(95% CI:0.998-1.046; P=0.0687798154)","1.127(95% CI:0.975-1.302; P=0.1059327903)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_FC","Free Cholesterol in Chylomicrons and Extremely Large VLDL","BC","1.092(95% CI:0.966-1.236; P=0.1600943638)","1.022(95% CI:0.999-1.046; P=0.0616848508)","1.107(95% CI:0.962-1.275; P=0.1566934273)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_PL","Phospholipids in Chylomicrons and Extremely Large VLDL","BC","1.102(95% CI:0.977-1.243; P=0.1141402177)","1.021(95% CI:0.998-1.045; P=0.0748964136)","1.112(95% CI:0.968-1.277; P=0.133086311)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_TG","Triglycerides in Chylomicrons and Extremely Large VLDL","BC","1.117(95% CI:0.991-1.26; P=0.0702434509)","1.021(95% CI:0.998-1.045; P=0.0705682267)","1.131(95% CI:0.986-1.297; P=0.0789575308)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetate","Acetate","BC_postmeno","0.845(95% CI:0.659-1.083; P=0.1832619016)","1.01(95% CI:0.987-1.033; P=0.4168796107)","0.767(95% CI:0.56-1.05; P=0.0976812967)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetoacetate","Acetoacetate","BC_postmeno","1.067(95% CI:0.946-1.203; P=0.2934345392)","1.051(95% CI:1.028-1.075; P=0.0000106515)","1.057(95% CI:0.929-1.202; P=0.4014812991)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetone","Acetone","BC_postmeno","1(95% CI:0.856-1.167; P=0.9963780619)","1.039(95% CI:1.018-1.061; P=0.0002866607)","1.006(95% CI:0.858-1.181; P=0.9398656669)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ala","Alanine","BC_postmeno","1.15(95% CI:0.982-1.347; P=0.083788926)","0.992(95% CI:0.966-1.018; P=0.5463920896)","1.219(95% CI:1.028-1.446; P=0.0228578688)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Albumin","Albumin","BC_postmeno","0.855(95% CI:0.718-1.017; P=0.0768081795)","0.968(95% CI:0.943-0.995; P=0.0181507963)","0.932(95% CI:0.78-1.113; P=0.434550367)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoA1","Apolipoprotein A1","BC_postmeno","1.002(95% CI:0.843-1.19; P=0.984937087)","1.005(95% CI:0.977-1.033; P=0.7390735543)","0.961(95% CI:0.801-1.153; P=0.6685586913)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoB","Apolipoprotein B","BC_postmeno","1.01(95% CI:0.854-1.194; P=0.9075405256)","1.036(95% CI:1.009-1.063; P=0.0077647751)","1.022(95% CI:0.858-1.217; P=0.8092026627)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"bOHbutyrate","3-Hydroxybutyrate","BC_postmeno","1.038(95% CI:0.893-1.206; P=0.6270312834)","1.044(95% CI:1.019-1.07; P=0.0004830826)","1.033(95% CI:0.882-1.21; P=0.6878705876)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Cholines","Total Cholines","BC_postmeno","1.028(95% CI:0.857-1.234; P=0.7662445395)","1.033(95% CI:1.006-1.062; P=0.0183878988)","1.013(95% CI:0.845-1.215; P=0.8898370078)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Citrate","Citrate","BC_postmeno","0.969(95% CI:0.792-1.185; P=0.7577524899)","1.029(95% CI:1.003-1.056; P=0.0315639153)","1.029(95% CI:0.879-1.204; P=0.7247881841)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Clinical_LDL_C","Clinical LDL Cholesterol","BC_postmeno","0.996(95% CI:0.842-1.177; P=0.9590546092)","1.029(95% CI:1.003-1.056; P=0.0305931882)","0.996(95% CI:0.837-1.184; P=0.962871182)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Creatinine","Creatinine","BC_postmeno","1.022(95% CI:0.865-1.208; P=0.7946606847)","1.005(95% CI:0.98-1.032; P=0.6893838077)","1.004(95% CI:0.841-1.199; P=0.9652325766)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"DHA","Docosahexaenoic Acid","BC_postmeno","0.974(95% CI:0.826-1.15; P=0.757224617)","1.019(95% CI:0.993-1.046; P=0.1556908553)","0.929(95% CI:0.775-1.114; P=0.4286867253)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gln","Glutamine","BC_postmeno","1.017(95% CI:0.855-1.21; P=0.8464063801)","0.985(95% CI:0.959-1.012; P=0.2807685028)","1.017(95% CI:0.848-1.218; P=0.8589690371)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Glucose","Glucose","BC_postmeno","1.015(95% CI:0.871-1.182; P=0.8507177779)","1.024(95% CI:0.998-1.051; P=0.0766274703)","1.075(95% CI:0.916-1.261; P=0.3761595791)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gly","Glycine","BC_postmeno","1.006(95% CI:0.857-1.18; P=0.9433269743)","0.958(95% CI:0.933-0.984; P=0.0019623593)","0.982(95% CI:0.824-1.171; P=0.8420811112)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"GlycA","Glycoprotein Acetyls","BC_postmeno","1.15(95% CI:0.967-1.369; P=0.1147961921)","1.074(95% CI:1.044-1.106; P=0.0000014614)","1.181(95% CI:0.978-1.426; P=0.0832041975)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_C","HDL Cholesterol","BC_postmeno","0.99(95% CI:0.838-1.17; P=0.9061285721)","0.989(95% CI:0.962-1.018; P=0.4681106215)","0.92(95% CI:0.764-1.107; P=0.3760688142)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_CE","Cholesteryl Esters in HDL","BC_postmeno","0.983(95% CI:0.833-1.159; P=0.8360432076)","0.987(95% CI:0.959-1.015; P=0.3577020882)","0.913(95% CI:0.759-1.098; P=0.3336559005)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_FC","Free Cholesterol in HDL","BC_postmeno","1.014(95% CI:0.855-1.203; P=0.8722599904)","1(95% CI:0.972-1.029; P=0.9775401081)","0.94(95% CI:0.781-1.131; P=0.5114800366)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_L","Total Lipids in HDL","BC_postmeno","1.012(95% CI:0.852-1.202; P=0.889365785)","0.999(95% CI:0.971-1.028; P=0.9694599791)","0.959(95% CI:0.799-1.152; P=0.6562741725)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_PL","Phospholipids in HDL","BC_postmeno","1.017(95% CI:0.857-1.208; P=0.8437772258)","1.004(95% CI:0.976-1.032; P=0.7911747219)","0.973(95% CI:0.812-1.167; P=0.7687632575)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_TG","Triglycerides in HDL","BC_postmeno","1.073(95% CI:0.911-1.264; P=0.3974758195)","1.039(95% CI:1.012-1.066; P=0.0037377818)","1.103(95% CI:0.934-1.303; P=0.2491712239)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"His","Histidine","BC_postmeno","1.088(95% CI:0.921-1.285; P=0.3225409934)","0.96(95% CI:0.934-0.987; P=0.00343509)","1.134(95% CI:0.952-1.351; P=0.1578089662)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_C","Cholesterol in IDL","BC_postmeno","0.982(95% CI:0.832-1.16; P=0.8324265485)","1.024(95% CI:0.998-1.051; P=0.067033946)","0.957(95% CI:0.805-1.136; P=0.6131101541)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_CE","Cholesteryl Esters in IDL","BC_postmeno","0.983(95% CI:0.832-1.161; P=0.8388760949)","1.023(95% CI:0.997-1.049; P=0.0851469374)","0.957(95% CI:0.805-1.138; P=0.6184938396)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_FC","Free Cholesterol in IDL","BC_postmeno","0.965(95% CI:0.82-1.135; P=0.6659014708)","1.028(95% CI:1.002-1.054; P=0.0337533149)","0.94(95% CI:0.792-1.116; P=0.4796583684)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_PL","Phospholipids in IDL","BC_postmeno","0.974(95% CI:0.825-1.15; P=0.7569490233)","1.028(95% CI:1.002-1.055; P=0.0316588449)","0.962(95% CI:0.809-1.144; P=0.6589014946)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_TG","Triglycerides in IDL","BC_postmeno","1.083(95% CI:0.918-1.278; P=0.3446051886)","1.046(95% CI:1.019-1.073; P=0.0006624855)","1.083(95% CI:0.916-1.281; P=0.3503376504)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ile","Isoleucine","BC_postmeno","1.038(95% CI:0.893-1.207; P=0.6298036523)","1.031(95% CI:1.006-1.057; P=0.0168831625)","1.092(95% CI:0.926-1.287; P=0.2943405558)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_C","Cholesterol in Large HDL","BC_postmeno","0.99(95% CI:0.839-1.169; P=0.9081321575)","0.979(95% CI:0.952-1.008; P=0.1551192424)","0.895(95% CI:0.741-1.082; P=0.2510253824)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_CE","Cholesteryl Esters in Large HDL","BC_postmeno","0.987(95% CI:0.837-1.165; P=0.8771089421)","0.978(95% CI:0.95-1.006; P=0.1263271751)","0.891(95% CI:0.737-1.077; P=0.2335971717)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_FC","Free Cholesterol in Large HDL","BC_postmeno","1.005(95% CI:0.851-1.186; P=0.9529549478)","0.986(95% CI:0.958-1.014; P=0.3221649369)","0.906(95% CI:0.75-1.095; P=0.3095182329)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_PL","Phospholipids in Large HDL","BC_postmeno","1.008(95% CI:0.853-1.191; P=0.9249350491)","0.986(95% CI:0.958-1.014; P=0.3311086442)","0.921(95% CI:0.764-1.11; P=0.3860571079)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_TG","Triglycerides in Large HDL","BC_postmeno","1.056(95% CI:0.892-1.249; P=0.5284426149)","1.023(95% CI:0.997-1.05; P=0.0889798545)","1.035(95% CI:0.876-1.222; P=0.6891489313)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_C","Cholesterol in Large LDL","BC_postmeno","0.976(95% CI:0.827-1.153; P=0.7768246223)","1.029(95% CI:1.003-1.056; P=0.0301290838)","0.98(95% CI:0.824-1.166; P=0.8219214934)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_CE","Cholesteryl Esters in Large LDL","BC_postmeno","0.977(95% CI:0.827-1.154; P=0.7812951123)","1.031(95% CI:1.005-1.058; P=0.0200118412)","0.987(95% CI:0.829-1.174; P=0.8826134543)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_FC","Free Cholesterol in Large LDL","BC_postmeno","0.961(95% CI:0.818-1.129; P=0.6274061166)","1.021(95% CI:0.995-1.047; P=0.1121627333)","0.949(95% CI:0.8-1.126; P=0.5487890709)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_PL","Phospholipids in Large LDL","BC_postmeno","0.982(95% CI:0.833-1.158; P=0.8322454157)","1.03(95% CI:1.003-1.056; P=0.0259369741)","0.983(95% CI:0.827-1.169; P=0.8462600892)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_TG","Triglycerides in Large LDL","BC_postmeno","1.106(95% CI:0.938-1.303; P=0.2302075479)","1.047(95% CI:1.02-1.074; P=0.0004884575)","1.102(95% CI:0.933-1.303; P=0.252455726)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_C","Cholesterol in Large VLDL","BC_postmeno","1.069(95% CI:0.911-1.253; P=0.4134581897)","1.043(95% CI:1.016-1.071; P=0.0016626524)","1.139(95% CI:0.958-1.353; P=0.1412585197)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","BC_postmeno","1.052(95% CI:0.896-1.234; P=0.5353635157)","1.041(95% CI:1.014-1.068; P=0.0028420573)","1.115(95% CI:0.938-1.326; P=0.2175297047)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_FC","Free Cholesterol in Large VLDL","BC_postmeno","1.088(95% CI:0.932-1.27; P=0.2874118914)","1.044(95% CI:1.017-1.072; P=0.0013922534)","1.162(95% CI:0.982-1.375; P=0.0808554244)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_PL","Phospholipids in Large VLDL","BC_postmeno","1.092(95% CI:0.936-1.274; P=0.2614528281)","1.042(95% CI:1.015-1.07; P=0.0020542056)","1.167(95% CI:0.987-1.379; P=0.0714173396)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_TG","Triglycerides in Large VLDL","BC_postmeno","1.115(95% CI:0.959-1.296; P=0.1554161236)","1.042(95% CI:1.015-1.069; P=0.0021356684)","1.195(95% CI:1.015-1.407; P=0.0328788592)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LA","Linoleic Acid","BC_postmeno","1.043(95% CI:0.879-1.237; P=0.629582459)","1.026(95% CI:1-1.053; P=0.0525099375)","1.053(95% CI:0.881-1.258; P=0.5738987624)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Lactate","Lactate","BC_postmeno","1.148(95% CI:0.988-1.334; P=0.0718220864)","1.015(95% CI:0.987-1.042; P=0.2945429711)","1.202(95% CI:1.019-1.417; P=0.0286015458)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_C","LDL Cholesterol","BC_postmeno","0.99(95% CI:0.837-1.171; P=0.9071517236)","1.033(95% CI:1.007-1.06; P=0.0141252231)","1(95% CI:0.84-1.191; P=0.9972236173)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
